users,text
TinyLordStan,@JoeBiden That’s sweet of you Mr.Biden just don’t talk all nice in the debates and then when you get in office…🐍
TriciaHuff14,"@JoeBiden So, if you win, do we get to take to the streets, riot loot, and destroy, all while chanting ""NOT MY PRES… https://t.co/iyhzpdpU8L"
SparkyParker319,@JoeBiden Where is hunter... you are so corrupt and dishonest!!
FleeseMatt,@JoeBiden Are you going to pack the courts?
RonRico911,"@JoeBiden denies this? Simple enough.FBI/DHS should contact Hunter Biden, show him laptop, email(s)&amp; video(s)&amp; imme… https://t.co/chWhlapWUC"
couragelr,@JoeBiden That is what you should have done for 47 years! You lies and reneged on your promises! TRUMP 2020
Johnste05340554,@JoeBiden Hi Joe https://t.co/7d6A2aMCBN
judielovesdan,"@JoeBiden If they destroy the ACA, then I guess it will have to be Medicare for all. 🤷🏻‍♀️"
irideshotgun,@JoeBiden Never a good idea to build on a faulty foundation.
Dominik42577997,@JoeBiden Polak Ci mówi: przegrasz Dziadu !🤣
johnTrump202045,@JoeBiden explain this to your 2020 voters  https://t.co/iqC7YivqPy
remissyg,@JoeBiden #IWillVote
SmugRepublican,@JoeBiden @BernieSanders does not
JanTate18324711,"RT @grylxndr: @JoeBiden A lot of Americans would like a handout because your donors have been in their pockets their whole lives, man."
